"","population","county","state","median_age","household_income","per_capita_income","poverty_count","poverty_rate","unemployment_rate"
"449",2996,"Glascock","Georgia",42.7,45000,23541,550,18.3578104138852,0.834445927903872
"450",84470,"Glynn","Georgia",41.6,52977,33848,15092,17.8666982360601,2.37480762400852
"451",57202,"Gordon","Georgia",38.4,45865,24092,10186,17.8070696828782,1.58036432292577
"452",24828,"Grady","Georgia",40.3,43531,22543,5490,22.1121314644756,2.17496375060416
"453",17349,"Greene","Georgia",50.2,52129,37818,3353,19.326762349415,2.18456395181278
"454",915046,"Gwinnett","Georgia",35.3,71026,30636,97006,10.6012156765889,2.19978012034368
"455",44626,"Habersham","Georgia",39.7,50563,23046,6381,14.2988392416977,1.33554430152826
"456",198667,"Hall","Georgia",36.7,62984,29680,27432,13.8080305234387,1.75469504245798
"457",8515,"Hancock","Georgia",45.6,31860,16704,1340,15.7369348209043,0.822078684674104
"458",29227,"Haralson","Georgia",40.4,48550,25074,4274,14.6234646046464,1.84076367742156
"459",34105,"Harris","Georgia",42.9,76319,36273,2079,6.0958803694473,3.39539656941797
"460",25773,"Hart","Georgia",44.1,43204,23181,3750,14.5501105808404,2.27757730958755
"461",11736,"Heard","Georgia",41.9,51358,22714,1647,14.0337423312883,2.40286298568507
"462",225356,"Henry","Georgia",36.9,71288,29889,19070,8.4621665276274,2.94201175029731
"463",153507,"Houston","Georgia",35.4,61723,29462,21065,13.7225012540145,3.12819610832079
"464",9320,"Irwin","Georgia",39.7,37736,19878,2186,23.4549356223176,4.31330472103004
"465",67885,"Jackson","Georgia",38.1,65385,28915,7564,11.1423731310304,1.9577226191353
"466",13916,"Jasper","Georgia",43,51250,22814,2115,15.1983328542685,2.5222765162403
"467",15036,"Jeff Davis","Georgia",36.6,36669,17833,3298,21.9340250066507,2.5804735301942
"468",15618,"Jefferson","Georgia",40,33944,19259,3711,23.7610449481368,2.01050070431553
"469",8793,"Jenkins","Georgia",44.3,27375,15531,2655,30.1944728761515,1.76276583646082
"470",9691,"Johnson","Georgia",41.8,42446,21087,2043,21.081415746569,4.22041069033124
"471",28579,"Jones","Georgia",40.4,56020,25854,3967,13.8808215822807,2.4388537037685
"472",18672,"Lamar","Georgia",37.8,44846,22413,3215,17.218294772922,3.04198800342759
"473",10380,"Lanier","Georgia",35.6,40986,19207,2309,22.2447013487476,1.77263969171484
"474",47405,"Laurens","Georgia",38.9,39120,21665,12539,26.4507963295011,2.08205885455121
"475",29502,"Lee","Georgia",37.2,69280,29348,3632,12.3110297606942,3.23367907260525
"476",61349,"Liberty","Georgia",28.4,48007,22811,9410,15.3384733247486,3.96420479551419
"477",7856,"Lincoln","Georgia",47.1,39742,26918,1600,20.3665987780041,1.4765784114053
"478",18692,"Long","Georgia",32.9,54605,22639,3481,18.6229402953135,4.78279477851487
"479",115364,"Lowndes","Georgia",30.5,42441,23348,27120,23.5082001317569,2.89345029645297
"480",32402,"Lumpkin","Georgia",37,51790,27155,4664,14.3941731991852,2.23751620270354
"481",13305,"Macon","Georgia",40.3,32161,17883,2865,21.5332581736189,4.4043592634348
"482",29218,"Madison","Georgia",41.1,52500,24511,4953,16.9518789787118,3.47730850845369
"483",8432,"Marion","Georgia",44.6,44643,22541,1387,16.4492409867173,2.72770398481973
"484",21455,"McDuffie","Georgia",37.7,43468,21625,5075,23.6541598694943,2.98764856676765
"485",14174,"McIntosh","Georgia",49.4,49504,26892,2465,17.3909976012417,2.75151686185974
"486",21106,"Meriwether","Georgia",42.3,37121,21038,4806,22.7707760826305,2.51113427461385
"487",5787,"Miller","Georgia",43.5,44542,23870,1215,20.99533437014,3.17954034905823
"488",22244,"Mitchell","Georgia",39,38116,18619,4592,20.6437691062759,5.67793562308937
"489",27171,"Monroe","Georgia",42.9,54754,33290,3625,13.3414302013176,3.12833535755033
"490",9058,"Montgomery","Georgia",40,41996,22477,1529,16.8801059836609,3.27886950761758
"491",18507,"Morgan","Georgia",44.6,66178,33571,1681,9.08304965688658,1.83714270276112
"492",39724,"Murray","Georgia",38.2,48033,21989,6118,15.4012687544054,3.09133017822979
"493",195739,"Muscogee","Georgia",34,46408,26097,39001,19.9250021712587,3.99869213595655
"494",108079,"Newton","Georgia",36.4,56316,25247,16559,15.3212002331628,3.21801645092941
"495",38132,"Oconee","Georgia",40.4,90751,44336,2336,6.1260883247666,1.52627714255743
"496",14931,"Oglethorpe","Georgia",42.4,47120,23523,1894,12.6850177483089,2.40439354363405
"497",159825,"Paulding","Georgia",36,68370,27979,12969,8.11450023463163,2.10730486469576
"498",27145,"Peach","Georgia",37.9,46636,24486,5627,20.729416098729,4.18493276846565
"499",31387,"Pickens","Georgia",45.4,67631,31965,3175,10.1156529773473,2.32580367668143
"500",19250,"Pierce","Georgia",39.4,42804,22268,4219,21.9168831168831,2.71168831168831
"501",18327,"Pike","Georgia",40.4,64878,27639,1714,9.35232171113658,2.55360942871174
"502",41908,"Polk","Georgia",37,44891,23857,7634,18.2160923928606,2.25732557029684
"503",11216,"Pulaski","Georgia",43.1,45148,20746,2134,19.0263908701854,2.00606276747504
